,buying_price,maintenance_cost,doors,persons_capacity,luggage_boot,safety
339,3.0,0.0,0.0,1.0,2.0,0.0
1467,0.0,2.0,2.0,1.0,0.0,0.0
1562,0.0,1.0,1.0,2.0,1.0,2.0
1569,0.0,1.0,2.0,0.0,1.0,0.0
1709,0.0,0.0,3.0,0.0,2.0,2.0
787,2.0,0.0,1.0,0.0,1.0,1.0
934,1.0,3.0,2.0,1.0,2.0,1.0
1473,0.0,2.0,2.0,1.0,2.0,0.0
1588,0.0,1.0,2.0,2.0,1.0,1.0
1605,0.0,1.0,3.0,1.0,1.0,0.0
1010,1.0,2.0,1.0,1.0,0.0,2.0
688,2.0,1.0,1.0,1.0,1.0,1.0
275,3.0,1.0,2.0,0.0,1.0,2.0
1628,0.0,0.0,0.0,0.0,2.0,2.0
1578,0.0,1.0,2.0,1.0,1.0,0.0
310,3.0,1.0,3.0,1.0,1.0,1.0
1040,1.0,2.0,2.0,1.0,1.0,2.0
952,1.0,3.0,3.0,0.0,2.0,1.0
513,2.0,3.0,3.0,0.0,0.0,0.0
1718,0.0,0.0,3.0,1.0,2.0,2.0
201,3.0,2.0,3.0,1.0,1.0,0.0
1180,1.0,1.0,3.0,2.0,0.0,1.0
820,2.0,0.0,2.0,1.0,0.0,1.0
786,2.0,0.0,1.0,0.0,1.0,0.0
1464,0.0,2.0,2.0,0.0,2.0,0.0
1504,0.0,2.0,3.0,2.0,0.0,1.0
1397,0.0,3.0,3.0,2.0,0.0,2.0
638,2.0,2.0,3.0,1.0,2.0,2.0
1597,0.0,1.0,3.0,0.0,1.0,1.0
485,2.0,3.0,1.0,2.0,2.0,2.0
254,3.0,1.0,1.0,1.0,0.0,2.0
1101,1.0,1.0,0.0,2.0,1.0,0.0
89,3.0,3.0,3.0,0.0,2.0,2.0
598,2.0,2.0,2.0,0.0,1.0,1.0
720,2.0,1.0,2.0,2.0,0.0,0.0
1381,0.0,3.0,3.0,0.0,1.0,1.0
925,1.0,3.0,2.0,0.0,2.0,1.0
1167,1.0,1.0,3.0,0.0,2.0,0.0
363,3.0,0.0,1.0,1.0,1.0,0.0
1074,1.0,2.0,3.0,2.0,1.0,0.0
942,1.0,3.0,2.0,2.0,2.0,0.0
944,1.0,3.0,2.0,2.0,2.0,2.0
690,2.0,1.0,1.0,1.0,2.0,0.0
1002,1.0,2.0,1.0,0.0,1.0,0.0
1420,0.0,2.0,0.0,1.0,2.0,1.0
1528,0.0,1.0,0.0,1.0,2.0,1.0
295,3.0,1.0,2.0,2.0,2.0,1.0
1273,1.0,0.0,3.0,0.0,1.0,1.0
515,2.0,3.0,3.0,0.0,0.0,2.0
143,3.0,2.0,1.0,0.0,2.0,2.0
1301,0.0,3.0,0.0,0.0,1.0,2.0
